sol_a.c,sol_b.c,sol_c.c,sol_d.c,sol_e.c,sol_f.c,sol_g.c,sol_h.c,sol_i.c,sol_j.c,sol_k.c,sol_k.c
0.036585,0.233516,0.532086,0.448087,0.551351,0.581818,0.621277,0.353723,0.559809,0.450521,0.963995
0.233516,0.032967,0.459893,0.439891,0.502703,0.554545,0.585106,0.359043,0.461722,0.367188,0.958899
0.532086,0.459893,0.037433,0.494652,0.542781,0.563636,0.540426,0.457447,0.531101,0.510417,0.951087
0.448087,0.439891,0.494652,0.043716,0.421622,0.547727,0.553191,0.401596,0.511962,0.492188,0.960258
0.551351,0.502703,0.542781,0.421622,0.048649,0.597727,0.625532,0.478723,0.528708,0.567708,0.964334
0.581818,0.554545,0.563636,0.547727,0.597727,0.050000,0.548936,0.545455,0.529545,0.497727,0.954144
0.621277,0.585106,0.540426,0.553191,0.625532,0.548936,0.042553,0.551064,0.578723,0.540426,0.944973
0.353723,0.359043,0.457447,0.401596,0.478723,0.545455,0.551064,0.058511,0.504785,0.445312,0.957201
0.559809,0.461722,0.531101,0.511962,0.528708,0.529545,0.578723,0.504785,0.043062,0.507177,0.957880
0.450521,0.367188,0.510417,0.492188,0.567708,0.497727,0.540426,0.445312,0.507177,0.052083,0.954144
0.963995,0.958899,0.951087,0.960258,0.964334,0.954144,0.944973,0.957201,0.957880,0.954144,0.041440
