-------,main
read_c_file,0.886111
Buff,0.877907
BuffDB,0.866279
dbAppend,0.767442
makeBuff,0.802326
makeZBuff,0.803468
catBuffs,0.796512
maxBuff,0.854651
minBuff,0.872093
normCompDist,0.808140
makeDB,0.823045
writeDB,0.773256
crawl_dir,0.896277
main,0.800000
