-------,main
read_c_file,0.886111
Buff,0.932642
BuffDB,0.906736
dbAppend,0.803109
makeBuff,0.823834
makeZBuff,0.818653
catBuffs,0.813471
maxBuff,0.865285
minBuff,0.865285
normCompDist,0.813471
makeDB,0.827160
writeDB,0.797927
crawl_dir,0.893617
main,0.764103
