-------,main
read_c_file,0.872222
Buff,0.880000
BuffDB,0.868571
dbAppend,0.782857
makeBuff,0.800000
makeZBuff,0.782857
catBuffs,0.782857
maxBuff,0.828571
minBuff,0.828571
normCompDist,0.788571
makeDB,0.831276
writeDB,0.794286
crawl_dir,0.880319
main,0.784615
