-------,main
read_c_file,0.886111
Buff,0.906832
BuffDB,0.881988
dbAppend,0.770186
makeBuff,0.801242
makeZBuff,0.786127
catBuffs,0.782609
maxBuff,0.844720
minBuff,0.838509
normCompDist,0.780488
makeDB,0.827160
writeDB,0.757764
crawl_dir,0.880319
main,0.784615
