-------,read_c_file,Buff,BuffDB,dbAppend,makeBuff,makeZBuff,catBuffs,maxBuff,minBuff,normCompDist,makeDB,writeDB,crawl_dir,main
Avocado,0.925000,0.666667,0.652174,0.824675,0.773438,0.849711,0.792857,0.736111,0.736111,0.829268,0.880658,0.833333,0.917553,0.871795
main,0.875000,0.896970,0.872727,0.800000,0.775758,0.774566,0.763636,0.818182,0.818182,0.800000,0.847737,0.800000,0.877660,0.794872
