-------,__fsid_t,dirent,enum (unnamed at /usr/include/dirent.h:97:1),__mbstate_t,_G_fpos_t,_G_fpos64_t,_IO_FILE,_IO_FILE,_IO_FILE,_IO_FILE,_IO_cookie_io_functions_t,div_t,ldiv_t,lldiv_t,__bswap_16,__bswap_32,__bswap_64,__uint16_identity,__uint32_identity,__uint64_identity,__sigset_t,timeval,timespec,fd_set,__pthread_internal_list,__pthread_internal_slist,__pthread_mutex_s,__pthread_rwlock_arch_t,__pthread_cond_s,__once_flag,random_data,drand48_data,__locale_struct,enum (unnamed at /usr/include/bits/confname.h:24:1),enum (unnamed at /usr/include/bits/confname.h:71:1),enum (unnamed at /usr/include/bits/confname.h:539:1),z_stream_s,gz_header_s,gzFile_s,gzFile_s,read_c_file,Buff,BuffDB,dbAppend,makeBuff,makeZBuff,catBuffs,maxBuff,minBuff,normCompDist,makeDB,writeDB,crawl_dir,main
_IO_cookie_io_functions_t,0.937500,0.757062,0.825301,0.750000,0.812500,0.819444,0.915408,0.915408,0.915408,0.915408,0.041667,0.784722,0.770833,0.770833,0.763889,0.756944,0.763889,0.819444,0.812500,0.819444,0.847222,0.750000,0.812030,0.794258,0.798611,0.791667,0.852410,0.860870,0.729167,0.881944,0.776042,0.771739,0.781250,0.928144,0.993111,0.966620,0.901499,0.890080,0.819444,0.819444,0.886111,0.847222,0.826389,0.785714,0.763889,0.797688,0.763889,0.826389,0.819444,0.798781,0.860082,0.784722,0.898936,0.825641
div_t,0.867647,0.836158,0.861446,0.745283,0.794118,0.794118,0.953172,0.953172,0.953172,0.953172,0.777778,0.044118,0.250000,0.273973,0.832061,0.824427,0.832061,0.794118,0.779412,0.794118,0.735294,0.774194,0.883459,0.856459,0.779412,0.764706,0.897590,0.915942,0.836879,0.764706,0.812500,0.831522,0.852679,0.952096,0.993800,0.965230,0.931477,0.922252,0.794521,0.794521,0.927778,0.794118,0.750000,0.844156,0.789062,0.861272,0.807143,0.777778,0.777778,0.847561,0.888889,0.861111,0.922872,0.871795
ldiv_t,0.875000,0.824859,0.855422,0.726415,0.805556,0.805556,0.948640,0.948640,0.948640,0.948640,0.763889,0.222222,0.055556,0.109589,0.809160,0.809160,0.809160,0.805556,0.791667,0.805556,0.680556,0.766129,0.872180,0.851675,0.791667,0.791667,0.894578,0.910145,0.822695,0.777778,0.802083,0.826087,0.843750,0.952096,0.994144,0.966620,0.927195,0.922252,0.767123,0.767123,0.919444,0.763889,0.777778,0.837662,0.789062,0.861272,0.792857,0.763889,0.763889,0.841463,0.880658,0.847222,0.920213,0.861538
lldiv_t,0.876712,0.830508,0.867470,0.726415,0.808219,0.808219,0.948640,0.948640,0.948640,0.948640,0.763889,0.232877,0.123288,0.041096,0.824427,0.816794,0.824427,0.821918,0.808219,0.821918,0.684932,0.782258,0.872180,0.856459,0.780822,0.780822,0.894578,0.907246,0.815603,0.780822,0.807292,0.820652,0.843750,0.955090,0.994144,0.966620,0.929336,0.919571,0.780822,0.780822,0.925000,0.753425,0.767123,0.824675,0.796875,0.861272,0.807143,0.767123,0.767123,0.865854,0.884774,0.847222,0.922872,0.876923
__bswap_16,0.931298,0.785311,0.819277,0.786260,0.816794,0.824427,0.939577,0.939577,0.939577,0.939577,0.756944,0.832061,0.816794,0.824427,0.030534,0.221374,0.213740,0.648855,0.702290,0.694656,0.847328,0.709924,0.819549,0.799043,0.816794,0.809160,0.852410,0.881159,0.765957,0.877863,0.822917,0.809783,0.830357,0.931138,0.994488,0.972184,0.927195,0.922252,0.809160,0.809160,0.891667,0.854962,0.832061,0.798701,0.732824,0.803468,0.742857,0.786260,0.786260,0.804878,0.860082,0.791667,0.898936,0.835897
__bswap_32,0.923664,0.785311,0.825301,0.778626,0.801527,0.816794,0.939577,0.939577,0.939577,0.939577,0.750000,0.824427,0.809160,0.816794,0.221374,0.030534,0.190840,0.694656,0.641221,0.694656,0.832061,0.725191,0.815789,0.794258,0.809160,0.801527,0.855422,0.875362,0.758865,0.870229,0.802083,0.809783,0.825893,0.928144,0.994144,0.970793,0.925054,0.919571,0.801527,0.801527,0.891667,0.847328,0.824427,0.792208,0.725191,0.797688,0.735714,0.778626,0.778626,0.798781,0.855967,0.791667,0.898936,0.830769
__bswap_64,0.931298,0.779661,0.825301,0.778626,0.809160,0.793893,0.936556,0.936556,0.936556,0.936556,0.756944,0.832061,0.816794,0.824427,0.213740,0.190840,0.030534,0.694656,0.694656,0.641221,0.839695,0.671756,0.808271,0.799043,0.809160,0.801527,0.852410,0.866667,0.765957,0.870229,0.822917,0.809783,0.825893,0.931138,0.994144,0.969402,0.925054,0.919571,0.793893,0.793893,0.891667,0.847328,0.824427,0.798701,0.732824,0.797688,0.742857,0.778626,0.778626,0.798781,0.860082,0.791667,0.898936,0.830769
__uint16_identity,0.867647,0.864407,0.873494,0.792453,0.750000,0.750000,0.959215,0.959215,0.959215,0.959215,0.805556,0.750000,0.777778,0.808219,0.633588,0.687023,0.679389,0.044118,0.235294,0.235294,0.779412,0.822581,0.902256,0.889952,0.705882,0.705882,0.903614,0.915942,0.808511,0.779412,0.859375,0.858696,0.870536,0.961078,0.996211,0.979138,0.946467,0.932976,0.767123,0.767123,0.925000,0.764706,0.750000,0.850649,0.757812,0.838150,0.778571,0.694444,0.694444,0.829268,0.888889,0.826389,0.920213,0.882051
__uint32_identity,0.867647,0.870057,0.867470,0.792453,0.735294,0.750000,0.959215,0.959215,0.959215,0.959215,0.805556,0.750000,0.777778,0.794521,0.687023,0.633588,0.679389,0.235294,0.044118,0.235294,0.779412,0.830645,0.902256,0.889952,0.691176,0.691176,0.906627,0.910145,0.801418,0.779412,0.838542,0.858696,0.861607,0.955090,0.995866,0.979138,0.942184,0.932976,0.767123,0.767123,0.922222,0.750000,0.750000,0.850649,0.750000,0.832370,0.771429,0.680556,0.680556,0.829268,0.884774,0.826389,0.920213,0.876923
__uint64_identity,0.867647,0.864407,0.867470,0.792453,0.735294,0.705882,0.956193,0.956193,0.956193,0.956193,0.805556,0.750000,0.777778,0.808219,0.687023,0.679389,0.633588,0.235294,0.235294,0.044118,0.779412,0.806452,0.894737,0.889952,0.705882,0.705882,0.900602,0.910145,0.808511,0.779412,0.859375,0.858696,0.870536,0.958084,0.995866,0.977747,0.946467,0.932976,0.739726,0.739726,0.925000,0.750000,0.750000,0.857143,0.757812,0.838150,0.785714,0.680556,0.680556,0.829268,0.893004,0.826389,0.922872,0.882051
