-------,read_c_file,Buff,BuffDB,dbAppend,makeBuff,makeZBuff,catBuffs,maxBuff,minBuff,normCompDist,makeDB,writeDB,crawl_dir,main
avocado,0.927778,0.656716,0.597015,0.818182,0.765625,0.843931,0.778571,0.694444,0.694444,0.817073,0.876543,0.840278,0.922872,0.856410
main,0.894444,0.904762,0.884354,0.798701,0.795918,0.815029,0.775510,0.843537,0.843537,0.835366,0.868313,0.795918,0.890957,0.856410
