-------,main
read_c_file,0.866667
Buff,0.882023
BuffDB,0.887640
dbAppend,0.792135
makeBuff,0.797753
makeZBuff,0.780899
catBuffs,0.797753
maxBuff,0.842697
minBuff,0.837079
normCompDist,0.786517
makeDB,0.835391
writeDB,0.792135
crawl_dir,0.869681
main,0.764103
