-------,VisitorData,addSnippet,cursorIsValid,visitorTxt,getCursorKindName,visitorAstBlock,visitorAst,parseCodeTxt
VisitorData,0.000000,0.712707,0.795918,0.952811,0.814480,0.923688,0.938667,0.923174
addSnippet,0.745856,0.000000,0.607143,0.911647,0.592760,0.864865,0.884000,0.870277
cursorIsValid,0.795918,0.612245,0.000000,0.880522,0.542986,0.812401,0.842667,0.880353
visitorTxt,0.945783,0.904619,0.887550,0.000000,0.869478,0.743976,0.387550,0.812249
getCursorKindName,0.828054,0.615385,0.561086,0.866466,0.000000,0.750397,0.822667,0.861461
visitorAstBlock,0.920509,0.866455,0.839428,0.743976,0.764706,0.000000,0.645333,0.769521
visitorAst,0.925333,0.880000,0.852000,0.380522,0.828000,0.634667,0.000000,0.792191
parseCodeTxt,0.928212,0.881612,0.884131,0.801205,0.866499,0.768262,0.792191,0.000000
