-------,avocado,main
read_c_file,0.911111,0.905556
Buff,0.656716,0.897959
BuffDB,0.582090,0.877551
dbAppend,0.798701,0.798701
makeBuff,0.765625,0.816327
makeZBuff,0.849711,0.838150
catBuffs,0.785714,0.789116
maxBuff,0.722222,0.850340
minBuff,0.722222,0.850340
normCompDist,0.817073,0.810976
makeDB,0.860082,0.872428
writeDB,0.826389,0.782313
crawl_dir,0.920213,0.904255
main,0.846154,0.841026
